类型,标的ID/代码,名字,净值日期/时间,价格/净值,24h涨跌幅(%),计价币种,抓取时间(UTC)
fund,004253,国泰黄金ETF联接C,2025-10-23,3.3321,-0.60,,2025-10-25 11:46:39
crypto,bitcoin,Bitcoin,2025-10-25 11:46:39,794753.7152178596,0.5144,cny,2025-10-25 11:46:39
crypto,ethereum,Ethereum,2025-10-25 11:46:39,28072.40274228035,-0.10994,cny,2025-10-25 11:46:39
crypto,tether,Tether,2025-10-25 11:46:39,7.123951132142939,-0.01976,cny,2025-10-25 11:46:39
fund,004253,国泰黄金ETF联接C,2025-10-23,3.3321,-0.60,,2025-10-25 14:09:21
crypto,bitcoin,Bitcoin,2025-10-25 14:09:21,795799.290749542,1.10487,cny,2025-10-25 14:09:21
crypto,ethereum,Ethereum,2025-10-25 14:09:21,28089.25810521971,0.29048,cny,2025-10-25 14:09:21
crypto,tether,Tether,2025-10-25 14:09:21,7.124545183026598,-0.01855,cny,2025-10-25 14:09:21
fund,004253,国泰黄金ETF联接C,2025-10-23,3.3321,-0.60,,2025-10-26 03:04:25
crypto,bitcoin,Bitcoin,2025-10-26 03:04:25,793662.8706694092,0.32165,cny,2025-10-26 03:04:25
crypto,ethereum,Ethereum,2025-10-26 03:04:25,27975.52370898759,-0.16049,cny,2025-10-26 03:04:25
crypto,tether,Tether,2025-10-26 03:04:25,7.124232865975827,-0.0018,cny,2025-10-26 03:04:25
fund,004253,国泰黄金ETF联接C,2025-10-23,3.3321,-0.60,,2025-10-26 06:15:47
crypto,bitcoin,Bitcoin,2025-10-26 06:15:47,794650.1548753737,0.1308,cny,2025-10-26 06:15:47
crypto,ethereum,Ethereum,2025-10-26 06:15:47,28067.133865212734,0.17821,cny,2025-10-26 06:15:47
crypto,tether,Tether,2025-10-26 06:15:47,7.1242680298182215,7e-05,cny,2025-10-26 06:15:47
fund,004253,国泰黄金ETF联接C,2025-10-23,3.3321,-0.60,,2025-10-26 14:09:19
crypto,bitcoin,Bitcoin,2025-10-26 14:09:19,810257.3903211728,1.84058,cny,2025-10-26 14:09:19
crypto,ethereum,Ethereum,2025-10-26 14:09:19,29123.267162433352,3.71905,cny,2025-10-26 14:09:19
crypto,tether,Tether,2025-10-26 14:09:19,7.123081173803621,-0.01973,cny,2025-10-26 14:09:19
